latitude,longitude,id,name,docks
40.679438,-73.968043,motivate_BKN_8caf71df-76c3-43fb-be98-d555d2291460,Bergen St & Vanderbilt Ave,18
40.696232,-73.99142,motivate_BKN_cbf76774-1276-4cf8-9442-f00571f1451c,Clinton St & Tillary St,27
40.819999,-73.897263,motivate_BKN_a2ef8ed2-6031-4049-b7dc-9838ef39889b,Dawson St & Intervale Ave,13
40.743954,-73.991448,motivate_BKN_66dc2995-0aca-11e7-82f6-3863bb44ef7c,W 25 St & 6 Ave,39
40.756603,-73.9979,motivate_BKN_66dc1d80-0aca-11e7-82f6-3863bb44ef7c,W 37 St & 10 Ave,35
40.74557,-73.8882,motivate_BKN_1846085439406916338,41 Ave & 77 St,20
40.743943,-73.97966,motivate_BKN_66dc3e89-0aca-11e7-82f6-3863bb44ef7c,E 31 St & 3 Ave,59
40.75085,-73.87509,motivate_BKN_1834145589124844432,92 St & 37 Ave,17
40.722992,-73.979954,motivate_BKN_66dbec40-0aca-11e7-82f6-3863bb44ef7c,E 5 St & Avenue C,51
40.757147,-73.972078,motivate_BKN_66dc81ce-0aca-11e7-82f6-3863bb44ef7c,E 51 St & Lexington Ave,68
40.772092,-73.895166,motivate_BKN_ca7ec509-cefc-4ac6-b729-08999d191051,Hazen St & 20 Ave,21
40.705148,-73.97078,motivate_BKN_81bec993-29a5-4e70-8f60-eecdf16c7be4,Railroad Ave & Kay Ave,27
40.7211,-73.991925,motivate_BKN_66dc3ab9-0aca-11e7-82f6-3863bb44ef7c,Rivington St & Chrystie St,57
40.855331,-73.937878,motivate_BKN_b4974d89-932c-4a9f-a264-2ea0cf70613e,Pinehurst Ave & W 187 St,17
40.777455,-73.92254,motivate_BKN_3e1bdcec-e762-4e83-b447-007f05923cce,19 St & 24 Ave,21
40.74446,-73.89764,motivate_BKN_00967b8f-1a4d-4131-a65a-17fa8ca89e28,41 Ave & 67 St,18
40.834457,-73.928381,motivate_BKN_481624f3-9377-4dfd-a5dd-de05a7fef760,Ogden Ave & W 165 St,17
40.87444,-73.89186,motivate_BKN_c8c39d85-4ce7-46c5-b709-998067200780,Bedford Park Blvd & Paul Ave,20
40.82394,-73.894025,motivate_BKN_9af90faf-0b9b-451b-9cb0-20ff421ca1d9,E 165 St & Fox St,24
40.762507,-73.902534,motivate_BKN_901ad0c4-383e-490a-8b54-0656ce2358d6,Bulova Ave & Brooklyn Queens Expressway W,12
40.710681,-73.93372,motivate_BKN_ab6aadd8-fa45-43aa-abea-c8e01ec5a0c8,Stagg St & Morgan Ave,21
40.735238,-74.000271,motivate_BKN_66dbe68e-0aca-11e7-82f6-3863bb44ef7c,Greenwich Ave & Charles St,53
40.83999,-73.90549,motivate_BKN_99614ecb-2329-49fa-a13a-fa1ef2bb32d6,Clay Ave & Claremont Pkwy,19
40.64744,-74.018846,motivate_BKN_6969d756-33a6-4a0b-83d0-3db38bc382d1,53 St & 2 Ave,26
40.693534,-73.981909,motivate_BKN_59df3823-0369-4a10-8132-05df34a170af,Myrtle Ave & Fleet Pl,44
40.810285,-73.957364,motivate_BKN_d80c274e-d17d-4a00-9b76-274c9fe4d0e1,Morningside Dr & Amsterdam Ave,35
40.700378,-73.99548,motivate_BKN_66db3687-0aca-11e7-82f6-3863bb44ef7c,Columbia Heights & Cranberry St,29
40.70793,-73.91092,motivate_BKN_55a4dc76-d839-4e06-9bf4-2f343391343c,Woodward Ave & Harman St,15
40.69122,-73.91693,motivate_BKN_bcb08532-f0d5-4c0e-ad8a-4ddacc204791,Madison St & Evergreen Ave,13
40.67423,-73.91656,motivate_BKN_af72ab76-c6cb-4994-af96-51fa8846ecdc,Bergen St & Saratoga Ave,18
40.755243,-73.948567,motivate_BKN_0687075b-cf2d-4130-a859-fe841aafbd3f,Vernon Blvd & 41 Rd,26
40.75874,-73.87535,motivate_BKN_1840504138040045682,Jackson Mill Rd & 93 St,19
40.774233,-73.912748,motivate_BKN_1817822909864556798,23 Ave & 31 St,26
40.68858,-73.91227,motivate_BKN_61f2ffd4-159a-42b3-a4d9-3fdfc3349074,Halsey St & Evergreen Ave,19
40.72693,-73.95863,motivate_BKN_1814548067447122618,Calyer St & West St,31
40.82831,-73.942924,motivate_BKN_54df610f-0e47-4958-98ca-37bb1b1c4dca,Convent Ave & W 151 St,20
40.681459,-73.934903,motivate_BKN_66dcbac5-0aca-11e7-82f6-3863bb44ef7c,Lewis Ave & Decatur St,16
40.814673,-73.91839,motivate_BKN_4c03fa2d-89da-4f0b-8f19-c7de5edbe256,E 147 St & Bergen Ave,18
40.774925,-73.982665,motivate_BKN_66dd4a52-0aca-11e7-82f6-3863bb44ef7c,W 67 St & Broadway,12
40.863124,-73.926994,motivate_BKN_59b747c1-fbfb-4a3d-9394-8d06834d7c98,Sherman Ave & Thayer St,17
40.703651,-74.011677,motivate_BKN_66db447a-0aca-11e7-82f6-3863bb44ef7c,Broad St & Bridge St,46
40.67853,-73.91642,motivate_BKN_4efda436-cd19-4ec3-acc7-1a622f723264,Fulton St & Saratoga Ave,17
40.725128,-73.981316,motivate_BKN_645e4365-653f-48ce-bc15-5fcc287be56f,E 7 St & Ave B,62
40.716425,-73.96594,motivate_BKN_1786697771181570266,Kent Ave & Grand St,39
